event_id,user_id,event_type,timestamp,page,session_id
1,1,page_view,2024-05-29 01:00:00,blog,7525
2,1,page_view,2024-05-07 06:00:00,confirmation,4939
3,1,checkout_start,2024-05-28 04:00:00,checkout,9856
4,1,page_view,2024-05-18 03:00:00,pricing,3292
5,1,add_to_cart,2024-06-02 09:00:00,confirmation,6666
6,1,page_view,2024-05-06 06:00:00,product,2245
7,1,add_to_cart,2024-05-18 12:00:00,confirmation,7499
8,1,page_view,2024-05-17 22:00:00,cart,8381
9,2,page_view,2024-06-01 17:00:00,checkout,8075
10,2,add_to_cart,2024-05-30 22:00:00,pricing,7227
11,2,add_to_cart,2024-05-26 15:00:00,cart,5037
12,2,page_view,2024-05-26 03:00:00,product,7225
13,2,page_view,2024-06-19 01:00:00,checkout,6188
14,2,page_view,2024-06-07 09:00:00,home,6050
15,2,page_view,2024-06-10 23:00:00,cart,2674
16,2,page_view,2024-05-28 15:00:00,checkout,8353
17,2,signup,2024-06-15 18:00:00,checkout,2692
18,2,page_view,2024-05-24 02:00:00,confirmation,2524
19,2,signup,2024-06-17 11:00:00,cart,7311
20,2,page_view,2024-05-23 12:00:00,checkout,2387
21,2,purchase,2024-06-15 20:00:00,product,9537
22,2,add_to_cart,2024-05-30 05:00:00,product,3274
23,2,page_view,2024-06-03 11:00:00,checkout,3390
24,2,page_view,2024-05-25 16:00:00,cart,7899
25,2,signup,2024-06-04 18:00:00,home,6916
26,3,add_to_cart,2024-04-01 12:00:00,checkout,4203
27,3,page_view,2024-04-10 12:00:00,cart,1110
28,3,page_view,2024-04-07 21:00:00,confirmation,7224
29,3,signup,2024-04-05 01:00:00,checkout,3230
30,3,page_view,2024-04-03 19:00:00,pricing,4290
31,3,page_view,2024-04-11 10:00:00,checkout,6228
32,3,add_to_cart,2024-04-03 10:00:00,pricing,9044
33,3,checkout_start,2024-04-15 13:00:00,cart,7161
34,3,checkout_start,2024-04-02 23:00:00,checkout,6980
35,3,purchase,2024-03-26 20:00:00,product,9939
36,4,add_to_cart,2024-02-04 02:00:00,home,8563
37,4,signup,2024-01-14 22:00:00,cart,2133
38,4,add_to_cart,2024-01-23 10:00:00,product,5961
39,4,page_view,2024-01-16 07:00:00,product,7932
40,4,page_view,2024-01-22 02:00:00,confirmation,8851
41,4,signup,2024-01-30 20:00:00,confirmation,7853
42,4,page_view,2024-01-29 04:00:00,cart,9796
43,5,add_to_cart,2024-02-16 15:00:00,pricing,6816
44,5,add_to_cart,2024-02-19 02:00:00,home,7547
45,5,purchase,2024-02-26 03:00:00,checkout,2735
46,5,page_view,2024-02-12 10:00:00,product,9366
47,6,signup,2024-06-07 19:00:00,confirmation,4621
48,6,page_view,2024-06-03 00:00:00,checkout,9199
