funnel_id,user_id,step,step_order,completed,timestamp,signup_month
1,1,visit,1,1,2024-05-04 00:00:00,2024-05
2,1,signup,2,0,2024-05-05 03:00:00,2024-05
3,2,visit,1,1,2024-05-23 00:00:00,2024-05
4,2,signup,2,0,2024-05-24 03:00:00,2024-05
5,3,visit,1,1,2024-03-22 00:00:00,2024-03
6,3,signup,2,1,2024-03-23 23:00:00,2024-03
7,3,onboard,3,1,2024-03-25 12:00:00,2024-03
8,3,activate,4,0,2024-03-25 15:00:00,2024-03
9,4,visit,1,1,2024-01-06 00:00:00,2024-01
10,4,signup,2,1,2024-01-06 10:00:00,2024-01
11,4,onboard,3,0,2024-01-07 06:00:00,2024-01
12,5,visit,1,1,2024-02-12 00:00:00,2024-02
13,5,signup,2,1,2024-02-13 22:00:00,2024-02
14,5,onboard,3,0,2024-02-14 08:00:00,2024-02
15,6,visit,1,1,2024-05-15 00:00:00,2024-05
16,6,signup,2,0,2024-05-16 22:00:00,2024-05
17,7,visit,1,1,2024-01-20 00:00:00,2024-01
18,7,signup,2,1,2024-01-21 19:00:00,2024-01
19,7,onboard,3,0,2024-01-21 12:00:00,2024-01
20,8,visit,1,1,2024-02-21 00:00:00,2024-02
21,8,signup,2,0,2024-02-22 22:00:00,2024-02
22,9,visit,1,1,2024-01-16 00:00:00,2024-01
23,9,signup,2,0,2024-01-17 03:00:00,2024-01
24,10,visit,1,1,2024-04-22 00:00:00,2024-04
25,10,signup,2,1,2024-04-23 10:00:00,2024-04
26,10,onboard,3,1,2024-04-24 22:00:00,2024-04
27,10,activate,4,1,2024-04-27 12:00:00,2024-04
28,10,purchase,5,1,2024-04-26 20:00:00,2024-04
29,11,visit,1,1,2024-01-16 00:00:00,2024-01
30,11,signup,2,0,2024-01-16 23:00:00,2024-01
31,12,visit,1,1,2024-05-03 00:00:00,2024-05
32,12,signup,2,0,2024-05-03 04:00:00,2024-05
33,13,visit,1,1,2024-05-16 00:00:00,2024-05
34,13,signup,2,1,2024-05-17 15:00:00,2024-05
35,13,onboard,3,0,2024-05-19 10:00:00,2024-05
36,14,visit,1,1,2024-04-13 00:00:00,2024-04
37,14,signup,2,0,2024-04-13 14:00:00,2024-04
38,15,visit,1,1,2024-02-12 00:00:00,2024-02
39,15,signup,2,0,2024-02-13 03:00:00,2024-02
40,16,visit,1,1,2024-06-08 00:00:00,2024-06
41,16,signup,2,0,2024-06-08 02:00:00,2024-06
42,17,visit,1,1,2024-06-26 00:00:00,2024-06
