order_id,user_id,order_date,amount,status,device,country,plan
1,1,2024-06-24,22.27,refunded,mobile,AU,free
2,1,2024-05-15,24.14,completed,mobile,AU,free
3,1,2024-06-02,12.44,refunded,mobile,AU,free
4,2,2024-06-30,12.61,completed,mobile,AU,free
5,2,2024-05-29,26.02,completed,mobile,AU,free
6,4,2024-01-12,36.25,cancelled,desktop,CA,starter
7,4,2024-01-18,54.64,completed,desktop,CA,starter
8,7,2024-02-18,21.39,refunded,mobile,US,starter
9,7,2024-02-15,19.01,completed,mobile,US,starter
10,7,2024-03-13,69.35,cancelled,mobile,US,starter
11,8,2024-03-04,10.34,completed,desktop,AU,free
12,10,2024-06-01,23.49,completed,mobile,US,starter
13,12,2024-06-07,21.38,completed,desktop,US,free
14,13,2024-05-22,24.21,cancelled,tablet,CA,starter
15,13,2024-05-31,41.94,completed,tablet,CA,starter
16,15,2024-04-12,50.73,refunded,desktop,DE,starter
17,17,2024-06-30,17.0,refunded,tablet,DE,free
18,17,2024-06-30,25.81,refunded,tablet,DE,free
19,20,2024-06-30,194.66,completed,desktop,US,pro
20,21,2024-04-29,32.7,completed,mobile,AU,starter
21,21,2024-04-21,35.28,completed,mobile,AU,starter
22,21,2024-05-07,68.57,completed,mobile,AU,starter
23,24,2024-06-30,17.21,completed,tablet,CA,free
24,27,2024-04-13,28.3,completed,desktop,UK,free
25,27,2024-04-16,27.77,completed,desktop,UK,free
26,27,2024-05-02,15.98,completed,desktop,UK,free
27,28,2024-06-25,18.2,refunded,desktop,CA,free
28,28,2024-06-30,22.17,refunded,desktop,CA,free
29,28,2024-06-30,16.24,refunded,desktop,CA,free
30,35,2024-06-30,35.65,refunded,mobile,,starter
31,39,2024-02-12,9.4,completed,mobile,US,free
32,39,2024-03-08,25.92,cancelled,mobile,US,free
33,39,2024-02-23,20.29,completed,mobile,US,free
34,40,2024-01-29,26.64,completed,desktop,FR,free
35,43,2024-01-17,65.11,completed,mobile,US,starter
36,43,2024-01-27,35.12,refunded,mobile,US,starter
37,47,2024-06-30,20.41,completed,desktop,US,free
38,47,2024-06-30,16.18,completed,desktop,US,free
39,50,2024-06-11,20.19,completed,tablet,,free
40,51,2024-02-12,12.96,refunded,mobile,US,free
41,51,2024-03-18,23.12,completed,mobile,US,free
42,54,2024-06-29,49.05,completed,mobile,UK,starter
43,54,2024-06-30,72.14,refunded,mobile,UK,starter
44,56,2024-02-03,23.52,completed,desktop,US,free
45,59,2024-06-30,24.62,refunded,desktop,US,free
46,61,2024-06-24,15.09,refunded,mobile,US,free
47,61,2024-06-30,10.88,completed,mobile,US,free
48,65,2024-02-04,42.77,refunded,mobile,CA,starter
49,65,2024-02-06,51.53,refunded,mobile,CA,starter
50,68,2024-06-15,26.92,refunded,mobile,,free
51,68,2024-06-07,22.59,refunded,mobile,,free
52,70,2024-05-09,22.18,completed,mobile,US,free
53,76,2024-06-30,22.92,cancelled,desktop,AU,free
54,76,2024-06-30,11.2,cancelled,desktop,AU,free
55,77,2024-06-30,18.09,cancelled,desktop,US,free
56,78,2024-02-29,16.27,refunded,mobile,FR,free
57,78,2024-02-16,15.75,completed,mobile,FR,free
58,79,2024-03-13,14.34,refunded,mobile,US,free
59,81,2024-03-31,185.27,refunded,tablet,US,pro
60,83,2024-04-08,61.05,completed,desktop,US,starter
61,83,2024-04-13,74.98,completed,desktop,US,starter
62,89,2024-03-05,9.32,cancelled,mobile,CA,free
63,93,2024-06-20,54.87,completed,mobile,UK,starter
64,93,2024-06-01,47.24,completed,mobile,UK,starter
65,95,2024-06-30,12.38,cancelled,mobile,US,free
66,95,2024-06-30,21.36,cancelled,mobile,US,free
67,95,2024-06-30,18.63,refunded,mobile,US,free
68,96,2024-06-19,28.89,completed,desktop,US,free
69,96,2024-06-22,9.44,completed,desktop,US,free
70,98,2024-06-21,46.32,completed,desktop,FR,starter
71,106,2024-02-29,12.74,completed,mobile,US,free
72,106,2024-04-04,10.39,completed,mobile,US,free
73,110,2024-06-30,20.6,completed,desktop,UK,free
74,117,2024-06-30,12.08,completed,mobile,US,free
75,121,2024-06-25,63.25,completed,mobile,US,starter
76,124,2024-06-05,17.1,completed,desktop,AU,free
77,124,2024-06-05,9.6,cancelled,desktop,AU,free
78,127,2024-03-04,65.26,completed,desktop,US,starter
79,128,2024-06-30,22.85,completed,tablet,AU,free
80,128,2024-06-22,16.18,cancelled,tablet,AU,free
81,128,2024-06-30,28.57,refunded,tablet,AU,free
82,129,2024-06-16,12.59,cancelled,mobile,UK,free
83,129,2024-05-30,25.39,refunded,mobile,UK,free
84,130,2024-06-25,28.92,cancelled,mobile,US,free
85,130,2024-06-19,28.17,completed,mobile,US,free
86,131,2024-06-30,24.52,completed,mobile,US,free
87,131,2024-06-30,10.09,completed,mobile,US,free
88,131,2024-06-30,26.43,completed,mobile,US,free
89,134,2024-04-20,27.55,refunded,desktop,US,free
90,134,2024-04-05,16.54,completed,desktop,US,free
91,134,2024-04-07,13.44,completed,desktop,US,free
92,135,2024-06-12,53.79,completed,mobile,US,starter
93,135,2024-05-16,41.78,completed,mobile,US,starter
94,135,2024-06-30,65.34,completed,mobile,US,starter
95,138,2024-01-30,27.79,completed,mobile,US,free
96,139,2024-06-30,20.98,completed,mobile,CA,free
97,140,2024-01-22,17.93,completed,mobile,US,free
98,140,2024-02-02,9.62,cancelled,mobile,US,free
99,141,2024-05-09,26.32,completed,mobile,UK,free
100,141,2024-04-11,12.19,completed,mobile,UK,free
101,141,2024-04-15,12.31,refunded,mobile,UK,free
102,147,2024-02-21,70.04,refunded,tablet,UK,starter
103,148,2024-06-15,53.77,completed,desktop,UK,starter
104,148,2024-06-09,30.03,refunded,desktop,UK,starter
105,148,2024-06-13,35.54,completed,desktop,UK,starter
106,149,2024-03-24,27.74,completed,mobile,US,free
107,152,2024-06-17,254.96,refunded,desktop,US,pro
108,153,2024-05-24,20.99,completed,desktop,CA,starter
109,155,2024-04-23,22.41,completed,mobile,CA,starter
110,160,2024-06-22,67.18,refunded,desktop,UK,starter
111,162,2024-06-30,78.9,refunded,mobile,US,starter
112,162,2024-06-30,19.35,completed,mobile,US,starter
113,163,2024-06-13,25.21,completed,desktop,FR,free
114,163,2024-06-14,12.25,completed,desktop,FR,free
115,163,2024-06-08,17.16,completed,desktop,FR,free
116,166,2024-05-27,159.13,completed,mobile,US,pro
117,167,2024-05-31,46.08,completed,tablet,,starter
118,167,2024-05-10,55.6,refunded,tablet,,starter
119,168,2024-05-07,16.51,completed,mobile,AU,free
120,168,2024-06-15,24.3,completed,mobile,AU,free
121,169,2024-06-30,22.97,refunded,mobile,,free
122,169,2024-06-30,19.02,completed,mobile,,free
123,174,2024-05-23,26.47,completed,desktop,UK,free
124,178,2024-04-07,18.04,refunded,desktop,UK,free
125,178,2024-03-17,19.36,completed,desktop,UK,free
126,178,2024-04-16,17.0,completed,desktop,UK,free
127,181,2024-03-13,17.06,refunded,mobile,US,free
128,185,2024-06-26,16.46,completed,mobile,UK,free
129,191,2024-06-30,12.72,cancelled,mobile,DE,free
130,192,2024-01-30,52.82,completed,desktop,US,starter
131,193,2024-02-10,10.45,refunded,mobile,,free
132,193,2024-03-15,20.38,refunded,mobile,,free
133,194,2024-05-31,55.62,cancelled,mobile,US,starter
134,194,2024-06-30,72.38,cancelled,mobile,US,starter
135,196,2024-06-30,24.82,cancelled,mobile,CA,free
136,196,2024-06-30,13.31,cancelled,mobile,CA,free
137,196,2024-06-30,18.55,refunded,mobile,CA,free
138,201,2024-01-17,37.07,completed,desktop,US,starter
139,201,2024-02-02,50.51,completed,desktop,US,starter
140,204,2024-06-30,133.34,completed,mobile,US,pro
141,204,2024-05-24,211.69,completed,mobile,US,pro
142,204,2024-06-29,210.89,completed,mobile,US,pro
143,206,2024-02-09,26.94,completed,tablet,DE,free
144,207,2024-06-03,60.9,refunded,mobile,US,starter
145,207,2024-05-01,69.4,completed,mobile,US,starter
146,207,2024-06-11,37.3,completed,mobile,US,starter
147,212,2024-05-03,13.08,cancelled,mobile,CA,free
148,214,2024-04-27,19.87,completed,desktop,US,free
149,214,2024-03-07,20.83,cancelled,desktop,US,free
150,214,2024-04-01,21.89,refunded,desktop,US,free
151,215,2024-06-30,225.77,completed,tablet,UK,pro
152,215,2024-06-30,278.89,completed,tablet,UK,pro
153,215,2024-06-30,292.32,completed,tablet,UK,pro
154,216,2024-03-05,153.1,completed,tablet,FR,pro
155,217,2024-06-21,17.56,completed,desktop,DE,free
156,217,2024-06-30,27.87,cancelled,desktop,DE,free
157,219,2024-06-30,65.61,completed,desktop,US,starter
158,219,2024-06-30,78.26,completed,desktop,US,starter
159,219,2024-06-30,51.04,completed,desktop,US,starter
160,220,2024-03-16,33.76,completed,mobile,UK,starter
161,220,2024-03-21,55.94,refunded,mobile,UK,starter
162,220,2024-02-28,75.19,refunded,mobile,UK,starter
163,223,2024-04-11,23.65,completed,desktop,CA,free
164,223,2024-04-07,25.93,completed,desktop,CA,free
165,223,2024-02-28,24.91,completed,desktop,CA,free
166,225,2024-04-26,13.51,completed,mobile,US,free
167,230,2024-02-21,186.84,completed,tablet,US,pro
168,232,2024-01-22,13.52,completed,desktop,CA,free
169,232,2024-03-07,20.51,completed,desktop,CA,free
170,234,2024-04-03,21.44,cancelled,mobile,AU,free
171,234,2024-03-19,23.44,cancelled,mobile,AU,free
172,235,2024-06-19,13.2,completed,desktop,US,free
173,235,2024-06-19,14.97,completed,desktop,US,free
174,238,2024-01-22,20.0,completed,mobile,AU,free
175,238,2024-02-22,14.42,refunded,mobile,AU,free
176,239,2024-03-09,17.32,completed,mobile,US,free
177,239,2024-03-24,13.51,completed,mobile,US,free
178,239,2024-04-03,28.37,completed,mobile,US,free
