user_id,signup_date,device,country,plan,age_group
1,2024-05-04,mobile,AU,free,25-34
2,2024-05-23,mobile,AU,free,55+
3,2024-03-22,mobile,US,free,55+
4,2024-01-06,desktop,CA,starter,45-54
5,2024-02-12,mobile,US,starter,25-34
6,2024-05-15,mobile,US,free,35-44
7,2024-01-20,mobile,US,starter,55+
8,2024-02-21,desktop,AU,free,45-54
9,2024-01-16,desktop,DE,starter,35-44
10,2024-04-22,mobile,US,starter,35-44
11,2024-01-16,desktop,DE,free,45-54
12,2024-05-03,desktop,US,free,35-44
13,2024-05-16,tablet,CA,starter,25-34
14,2024-04-13,desktop,US,free,55+
15,2024-02-12,desktop,DE,starter,25-34
16,2024-06-08,mobile,US,free,25-34
17,2024-06-26,tablet,DE,free,45-54
18,2024-03-17,desktop,CA,free,25-34
19,2024-02-17,desktop,UK,starter,45-54
20,2024-06-23,desktop,US,pro,25-34
21,2024-04-08,mobile,AU,starter,25-34
22,2024-05-01,mobile,CA,free,45-54
23,2024-03-15,desktop,UK,free,55+
24,2024-06-16,tablet,CA,free,55+
25,2024-05-25,mobile,CA,free,45-54
26,2024-01-31,mobile,,starter,35-44
27,2024-04-07,desktop,UK,free,35-44
28,2024-06-12,desktop,CA,free,25-34
29,2024-04-14,tablet,FR,pro,55+
30,2024-03-03,mobile,US,free,35-44
31,2024-02-16,mobile,DE,pro,18-24
32,2024-05-22,mobile,US,starter,25-34
33,2024-01-25,desktop,FR,free,55+
34,2024-06-18,desktop,,pro,25-34
35,2024-05-18,mobile,,starter,45-54
36,2024-06-23,mobile,US,free,35-44
37,2024-01-05,desktop,US,free,18-24
38,2024-05-17,desktop,US,pro,35-44
39,2024-01-14,mobile,US,free,55+
40,2024-01-26,desktop,FR,free,25-34
41,2024-06-01,mobile,US,free,45-54
42,2024-03-09,mobile,UK,starter,18-24
43,2024-01-12,mobile,US,starter,25-34
44,2024-02-07,mobile,US,free,35-44
45,2024-03-30,mobile,FR,free,55+
46,2024-01-20,mobile,,starter,18-24
47,2024-06-28,desktop,US,free,45-54
48,2024-02-11,desktop,FR,free,18-24
49,2024-03-16,mobile,AU,free,45-54
50,2024-05-15,tablet,,free,45-54
51,2024-01-31,mobile,US,free,55+
52,2024-01-12,desktop,US,free,55+
53,2024-06-27,desktop,US,pro,18-24
54,2024-06-14,mobile,UK,starter,25-34
55,2024-03-19,mobile,FR,free,55+
56,2024-01-08,desktop,US,free,55+
57,2024-03-02,tablet,US,starter,25-34
58,2024-02-21,mobile,CA,free,35-44
59,2024-06-29,desktop,US,free,55+
60,2024-01-20,mobile,US,free,35-44
61,2024-06-20,mobile,US,free,45-54
62,2024-06-10,mobile,US,pro,55+
63,2024-01-02,desktop,UK,pro,18-24
64,2024-06-19,mobile,US,free,55+
65,2024-01-31,mobile,CA,starter,25-34
66,2024-05-13,desktop,US,free,18-24
67,2024-01-18,desktop,DE,free,35-44
68,2024-05-29,mobile,,free,45-54
69,2024-04-17,desktop,UK,free,25-34
70,2024-04-15,mobile,US,free,45-54
71,2024-01-25,mobile,US,pro,18-24
72,2024-06-23,mobile,CA,starter,35-44
73,2024-05-31,desktop,DE,pro,25-34
74,2024-06-28,tablet,DE,pro,25-34
75,2024-06-20,mobile,US,pro,45-54
76,2024-06-04,desktop,AU,free,25-34
77,2024-06-01,desktop,US,free,45-54
78,2024-02-13,mobile,FR,free,25-34
79,2024-02-13,mobile,US,free,18-24
80,2024-05-30,mobile,CA,free,55+
81,2024-03-05,tablet,US,pro,25-34
82,2024-04-22,tablet,US,free,45-54
83,2024-03-08,desktop,US,starter,55+
84,2024-01-23,mobile,UK,free,45-54
85,2024-01-01,mobile,DE,starter,25-34
86,2024-03-11,mobile,FR,pro,55+
87,2024-03-01,desktop,US,pro,55+
88,2024-03-01,desktop,US,starter,55+
89,2024-01-25,mobile,CA,free,25-34
90,2024-04-29,desktop,US,starter,35-44
91,2024-02-25,mobile,AU,starter,35-44
92,2024-03-31,mobile,CA,free,25-34
93,2024-05-07,mobile,UK,starter,35-44
94,2024-01-19,desktop,AU,starter,25-34
95,2024-06-05,mobile,US,free,45-54
96,2024-04-28,desktop,US,free,55+
97,2024-02-07,desktop,US,free,25-34
98,2024-05-07,desktop,FR,starter,18-24
99,2024-05-31,mobile,US,pro,55+
100,2024-03-31,mobile,US,starter,45-54
101,2024-01-26,desktop,CA,pro,55+
102,2024-03-02,tablet,FR,starter,55+
103,2024-03-23,desktop,UK,pro,45-54
104,2024-03-28,mobile,US,starter,55+
105,2024-04-04,desktop,US,free,35-44
106,2024-02-15,mobile,US,free,25-34
107,2024-01-30,mobile,CA,starter,18-24
108,2024-03-21,mobile,UK,free,25-34
109,2024-06-10,mobile,FR,free,18-24
110,2024-06-15,desktop,UK,free,35-44
111,2024-02-27,desktop,DE,pro,45-54
112,2024-04-14,desktop,UK,starter,25-34
113,2024-04-04,mobile,US,free,35-44
114,2024-05-09,desktop,US,free,45-54
115,2024-06-27,mobile,CA,free,45-54
116,2024-04-24,desktop,US,starter,25-34
117,2024-06-17,mobile,US,free,25-34
118,2024-03-29,mobile,AU,free,45-54
119,2024-02-18,desktop,UK,starter,18-24
120,2024-03-08,mobile,US,pro,18-24
121,2024-05-26,mobile,US,starter,55+
122,2024-01-30,mobile,UK,free,25-34
123,2024-03-31,desktop,AU,free,55+
124,2024-05-25,desktop,AU,free,35-44
125,2024-01-21,desktop,FR,free,45-54
126,2024-03-18,tablet,US,free,25-34
127,2024-01-20,desktop,US,starter,18-24
