user_id,variant,assignment_date,converted,order_value
1,control,2026-03-01,0,
2,control,2026-03-11,0,
3,control,2026-03-12,0,
4,treatment,2026-03-04,0,
5,control,2026-03-05,0,
6,control,2026-03-10,0,
7,control,2026-03-05,0,
8,control,2026-03-09,1,93.12
9,control,2026-03-02,0,
10,control,2026-03-03,0,
11,treatment,2026-03-03,0,
12,treatment,2026-03-13,0,
13,treatment,2026-03-12,0,
14,treatment,2026-03-09,0,
15,treatment,2026-03-03,0,
16,control,2026-03-09,0,
17,control,2026-03-07,0,
18,control,2026-03-02,0,
19,control,2026-03-04,0,
20,control,2026-03-12,0,
21,treatment,2026-03-09,0,
22,control,2026-03-02,0,
23,treatment,2026-03-08,0,
24,control,2026-03-07,1,34.86
25,treatment,2026-03-11,1,39.57
26,treatment,2026-03-07,0,
27,treatment,2026-03-11,0,
28,treatment,2026-03-04,0,
29,treatment,2026-03-06,0,
30,control,2026-03-08,0,
31,control,2026-03-11,0,
32,treatment,2026-03-12,0,
33,control,2026-03-06,0,
34,treatment,2026-03-01,0,
35,control,2026-03-03,0,
36,treatment,2026-03-03,0,
37,control,2026-03-04,0,
38,control,2026-03-13,0,
39,treatment,2026-03-02,0,
40,treatment,2026-03-13,1,36.24
41,control,2026-03-02,1,32.6
42,control,2026-03-01,1,27.24
43,treatment,2026-03-11,0,
44,control,2026-03-02,0,
45,treatment,2026-03-07,0,
46,control,2026-03-08,0,
47,control,2026-03-12,1,47.88
48,treatment,2026-03-09,0,
49,treatment,2026-03-02,0,
50,treatment,2026-03-03,0,
51,control,2026-03-05,0,
52,control,2026-03-14,1,43.95
53,treatment,2026-03-10,0,
54,treatment,2026-03-14,0,
55,treatment,2026-03-09,0,
56,treatment,2026-03-10,0,
57,control,2026-03-04,0,
58,control,2026-03-08,0,
59,control,2026-03-02,0,
60,control,2026-03-03,0,
61,treatment,2026-03-05,0,
62,treatment,2026-03-03,0,
63,treatment,2026-03-07,0,
64,treatment,2026-03-10,1,59.39
65,treatment,2026-03-05,0,
66,treatment,2026-03-05,1,55.12
67,control,2026-03-09,0,
68,control,2026-03-11,0,
69,control,2026-03-13,0,
70,control,2026-03-04,0,
71,control,2026-03-05,0,
72,treatment,2026-03-12,0,
73,control,2026-03-12,0,
74,treatment,2026-03-11,0,
75,treatment,2026-03-05,0,
76,treatment,2026-03-10,0,
77,treatment,2026-03-13,0,
78,treatment,2026-03-05,0,
79,control,2026-03-01,0,
80,control,2026-03-09,0,
81,treatment,2026-03-13,0,
