user_id,variant,assignment_date,converted
1,control,2026-03-13,0
2,treatment,2026-03-07,1
3,treatment,2026-03-11,1
4,treatment,2026-03-13,0
5,treatment,2026-03-15,0
6,control,2026-03-03,0
7,control,2026-03-04,0
8,treatment,2026-03-12,0
9,control,2026-03-15,0
10,treatment,2026-03-04,1
11,control,2026-03-15,0
12,treatment,2026-03-02,0
13,treatment,2026-03-02,0
14,control,2026-03-08,0
15,treatment,2026-03-02,1
16,treatment,2026-03-11,1
17,treatment,2026-03-11,0
18,control,2026-03-05,1
19,control,2026-03-14,0
20,treatment,2026-03-13,1
21,treatment,2026-03-10,1
22,treatment,2026-03-09,0
23,control,2026-03-08,1
24,treatment,2026-03-07,0
25,treatment,2026-03-05,0
26,treatment,2026-03-12,0
27,control,2026-03-13,0
28,treatment,2026-03-03,1
29,control,2026-03-04,1
30,control,2026-03-10,0
31,control,2026-03-07,0
32,treatment,2026-03-13,0
33,treatment,2026-03-10,1
34,treatment,2026-03-08,1
35,treatment,2026-03-05,0
36,treatment,2026-03-06,0
37,control,2026-03-04,0
38,control,2026-03-04,1
39,treatment,2026-03-12,1
40,treatment,2026-03-14,0
41,treatment,2026-03-07,0
42,control,2026-03-12,1
43,treatment,2026-03-10,1
44,treatment,2026-03-02,0
45,treatment,2026-03-13,0
46,treatment,2026-03-06,0
47,control,2026-03-04,0
48,treatment,2026-03-13,0
49,control,2026-03-11,0
50,treatment,2026-03-09,0
51,treatment,2026-03-09,1
52,treatment,2026-03-08,1
53,control,2026-03-10,0
54,control,2026-03-04,0
55,treatment,2026-03-04,0
56,treatment,2026-03-13,0
57,treatment,2026-03-12,0
58,control,2026-03-11,1
59,treatment,2026-03-12,1
60,control,2026-03-05,0
61,treatment,2026-03-09,0
62,control,2026-03-03,0
63,treatment,2026-03-02,1
64,control,2026-03-07,0
65,treatment,2026-03-05,0
66,control,2026-03-02,1
67,treatment,2026-03-10,1
68,control,2026-03-09,0
69,treatment,2026-03-12,0
70,control,2026-03-07,1
71,treatment,2026-03-08,0
72,treatment,2026-03-04,0
73,treatment,2026-03-12,1
74,treatment,2026-03-02,1
75,treatment,2026-03-14,1
76,treatment,2026-03-15,0
77,treatment,2026-03-12,0
78,treatment,2026-03-15,1
79,treatment,2026-03-15,1
80,treatment,2026-03-03,0
81,control,2026-03-07,1
82,control,2026-03-03,0
83,treatment,2026-03-08,1
84,treatment,2026-03-02,0
85,treatment,2026-03-08,1
86,treatment,2026-03-02,1
87,control,2026-03-11,1
88,treatment,2026-03-13,1
89,treatment,2026-03-07,1
90,control,2026-03-13,1
91,control,2026-03-14,0
92,treatment,2026-03-15,0
93,control,2026-03-07,0
94,treatment,2026-03-11,0
95,control,2026-03-07,1
96,treatment,2026-03-14,1
97,treatment,2026-03-06,1
98,control,2026-03-13,0
99,treatment,2026-03-07,0
100,treatment,2026-03-03,0
101,treatment,2026-03-12,0
102,control,2026-03-06,0
103,control,2026-03-14,1
104,control,2026-03-07,0
105,control,2026-03-11,1
106,treatment,2026-03-11,1
107,control,2026-03-13,1
108,treatment,2026-03-06,1
109,control,2026-03-08,0
110,control,2026-03-12,1
111,control,2026-03-04,0
112,control,2026-03-13,0
113,treatment,2026-03-10,0
114,control,2026-03-14,1
115,control,2026-03-07,1
116,treatment,2026-03-05,0
117,control,2026-03-05,0
118,control,2026-03-11,0
119,treatment,2026-03-12,1
120,control,2026-03-03,0
121,control,2026-03-09,1
122,treatment,2026-03-10,1
123,control,2026-03-14,1
124,treatment,2026-03-03,1
125,control,2026-03-12,0
126,control,2026-03-15,0
127,treatment,2026-03-03,1
128,control,2026-03-10,0
129,treatment,2026-03-10,1
130,treatment,2026-03-08,0
131,treatment,2026-03-05,1
132,control,2026-03-11,0
133,control,2026-03-10,1
134,control,2026-03-04,0
135,control,2026-03-11,0
136,control,2026-03-14,1
137,control,2026-03-06,0
138,control,2026-03-02,0
139,control,2026-03-04,0
140,treatment,2026-03-14,1
141,control,2026-03-15,0
142,treatment,2026-03-11,1
143,control,2026-03-07,1
144,treatment,2026-03-11,1
145,control,2026-03-12,1
