user_id,tenure_months,adopted_feature,orders_90d
1,12,0,8
2,19,1,12
3,20,1,13
4,35,0,16
5,2,0,1
6,21,0,9
7,11,0,5
8,24,1,13
9,26,1,9
10,4,0,4
11,23,1,13
12,21,1,18
13,17,1,15
14,5,0,7
15,2,0,4
16,21,1,11
17,20,0,10
18,18,1,12
19,19,0,8
20,33,0,10
21,13,0,6
22,2,0,2
23,9,0,5
24,16,0,7
25,18,0,11
26,23,0,8
27,34,0,15
28,10,0,8
29,34,1,21
30,14,0,4
31,4,0,7
32,22,1,19
33,31,0,14
34,14,0,5
35,13,0,5
36,1,0,2
37,16,0,6
38,27,1,15
39,1,0,0
40,35,1,17
41,20,0,10
42,17,0,8
43,14,1,14
44,5,0,8
45,4,0,5
46,19,0,10
47,16,1,12
48,5,0,3
49,5,0,4
50,13,0,11
51,13,1,12
52,28,1,18
53,22,1,13
54,1,0,5
55,10,0,6
56,26,0,9
57,24,1,17
58,16,1,11
59,13,0,3
60,25,1,17
61,11,1,13
62,14,0,3
63,24,0,11
64,29,0,10
65,1,0,5
66,30,1,19
67,10,0,2
68,32,1,15
69,15,0,3
70,32,0,13
71,34,1,19
72,27,1,15
73,17,0,5
74,31,1,12
75,21,1,13
76,3,0,3
77,19,0,10
78,18,0,9
79,20,1,18
80,24,1,15
81,8,0,9
82,29,0,10
83,32,1,22
84,22,0,3
85,20,0,12
86,19,1,14
87,13,0,8
88,13,0,6
89,10,0,2
90,16,0,8
91,6,0,5
92,12,1,13
93,2,0,4
94,21,1,15
95,35,1,18
96,22,0,12
97,27,0,8
98,22,1,19
99,7,0,10
100,26,0,10
101,28,0,12
102,33,1,23
103,24,0,11
104,28,0,10
105,30,1,21
106,21,0,9
107,4,0,5
108,13,0,5
109,10,0,6
110,11,0,7
111,32,0,16
112,34,0,11
113,26,0,11
114,15,0,7
115,33,1,15
116,10,0,1
117,32,1,22
118,19,1,13
119,15,0,4
120,21,0,8
121,12,0,11
122,35,1,19
123,9,0,4
124,30,1,16
125,14,1,9
126,6,0,5
127,30,1,19
128,3,0,4
129,34,1,20
130,22,0,14
131,32,1,18
132,31,0,6
133,9,0,2
134,9,0,4
135,3,0,3
136,12,1,10
137,18,1,16
138,35,0,10
139,13,1,11
140,12,0,8
141,2,1,8
142,17,0,14
143,5,0,5
144,5,0,1
145,4,0,2
146,32,1,24
147,24,1,10
148,5,0,3
149,32,1,16
150,28,0,10
151,25,0,10
152,6,0,6
153,28,0,12
154,35,1,22
155,8,0,0
156,10,0,2
157,22,0,11
158,25,0,12
159,15,0,7
160,3,0,4
161,34,1,13
162,6,0,3
163,5,0,1
164,14,0,8
165,36,1,19
166,9,0,5
167,12,1,15
168,8,0,1
169,27,0,15
170,5,0,5
171,8,0,8
172,3,0,7
173,20,1,16
174,4,0,8
175,25,0,11
176,33,1,14
177,7,0,4
178,13,0,9
179,35,0,16
180,27,0,8
181,14,0,6
182,15,0,7
183,12,1,13
184,31,1,16
185,8,0,3
186,24,0,12
187,26,1,17
188,2,1,7
189,10,0,4
190,19,0,10
191,9,0,6
192,24,0,9
193,6,0,5
194,36,1,19
195,2,0,6
196,33,1,20
197,11,1,12
198,21,1,14
199,11,0,10
200,11,0,5
201,36,0,10
202,19,0,10
203,26,0,11
204,8,0,5
205,6,0,5
206,31,1,18
207,4,0,2
208,29,0,14
209,26,0,12
210,3,0,5
211,29,0,9
212,8,0,2
213,15,0,10
214,24,0,9
215,5,0,3
216,13,0,9
217,15,0,1
218,36,1,20
219,21,1,18
220,15,1,12
221,7,0,3
222,28,0,17
223,21,1,9
224,16,1,12
225,35,0,16
226,17,0,11
227,13,0,5
228,18,0,7
229,13,0,3
230,17,0,5
231,6,0,5
232,27,1,18
233,5,1,7
234,3,0,1
235,35,0,21
236,18,0,8
237,23,0,8
238,31,1,18
239,34,1,19
240,14,0,8
241,28,0,12
242,22,0,12
243,13,0,7
244,26,0,10
245,19,1,16
246,27,1,16
247,10,0,6
248,33,1,18
249,30,1,13
250,10,1,10
251,27,1,17
252,10,0,3
253,8,0,10
254,31,0,14
255,32,0,10
256,16,0,8
257,11,1,11
258,34,1,17
259,29,1,18
260,8,0,11
261,23,0,9
262,11,0,7
263,26,1,16
264,16,0,4
265,24,0,11
266,32,0,14
267,35,1,20
268,25,1,14
269,6,0,5
270,1,0,0
271,36,1,14
272,12,1,13
273,36,1,20
274,6,1,8
275,2,1,11
276,23,1,14
277,21,0,7
278,25,0,15
279,24,1,13
