unit_id,platform,week,period,treated,outcome
1,ios,1,pre,1,6.05
2,ios,1,pre,1,5.36
3,ios,1,pre,1,5.44
4,ios,1,pre,1,6.18
5,ios,1,pre,1,6.12
6,ios,1,pre,1,5.03
7,ios,1,pre,1,4.25
8,ios,1,pre,1,4.66
9,ios,1,pre,1,4.43
10,ios,1,pre,1,3.58
11,ios,1,pre,1,4.4
12,ios,1,pre,1,6.08
13,ios,1,pre,1,5.83
14,ios,1,pre,1,5.87
15,ios,1,pre,1,4.78
16,ios,1,pre,1,4.3
17,ios,1,pre,1,4.69
18,ios,1,pre,1,6.72
19,ios,1,pre,1,4.8
20,ios,1,pre,1,4.81
21,ios,1,pre,1,5.82
22,ios,1,pre,1,5.76
23,ios,1,pre,1,5.36
24,ios,1,pre,1,5.49
25,ios,1,pre,1,7.44
26,ios,1,pre,1,5.33
27,ios,1,pre,1,4.56
28,ios,1,pre,1,5.95
29,ios,1,pre,1,4.27
30,ios,1,pre,1,5.01
31,ios,1,pre,1,4.21
32,ios,1,pre,1,4.08
33,ios,1,pre,1,4.42
34,ios,1,pre,1,5.97
35,ios,1,pre,1,5.86
36,ios,1,pre,1,5.12
37,ios,1,pre,1,2.87
38,ios,1,pre,1,3.59
39,ios,1,pre,1,6.16
40,ios,1,pre,1,5.19
41,ios,1,pre,1,4.27
42,ios,1,pre,1,2.61
43,ios,1,pre,1,4.33
44,ios,1,pre,1,6.97
45,ios,1,pre,1,4.39
46,ios,1,pre,1,4.83
47,ios,1,pre,1,4.44
48,ios,1,pre,1,4.09
49,ios,1,pre,1,6.16
50,ios,1,pre,1,5.98
51,ios,1,pre,1,5.39
52,ios,1,pre,1,5.36
53,ios,1,pre,1,5.39
54,ios,1,pre,1,5.26
55,ios,1,pre,1,4.36
56,ios,1,pre,1,5.09
57,ios,1,pre,1,6.07
58,ios,1,pre,1,4.56
59,ios,1,pre,1,4.41
60,ios,1,pre,1,5.59
61,ios,1,pre,1,6.31
62,ios,1,pre,1,6.84
63,ios,1,pre,1,5.84
64,ios,1,pre,1,6.89
65,ios,1,pre,1,5.56
66,ios,1,pre,1,7.86
67,ios,1,pre,1,3.18
68,ios,1,pre,1,6.54
69,ios,1,pre,1,4.07
70,ios,1,pre,1,6.67
71,ios,1,pre,1,6.81
72,ios,1,pre,1,6.38
73,ios,1,pre,1,6.34
74,ios,1,pre,1,5.16
75,ios,1,pre,1,5.81
76,ios,1,pre,1,4.92
77,ios,1,pre,1,4.94
78,ios,1,pre,1,5.9
79,ios,1,pre,1,6.06
80,ios,1,pre,1,6.79
81,ios,1,pre,1,3.74
82,ios,1,pre,1,5.98
83,ios,1,pre,1,6.29
84,ios,1,pre,1,4.76
85,ios,1,pre,1,6.06
86,ios,1,pre,1,5.4
87,ios,1,pre,1,6.68
88,ios,1,pre,1,3.05
89,ios,1,pre,1,5.32
90,ios,1,pre,1,5.43
91,ios,1,pre,1,5.94
92,ios,1,pre,1,5.6
93,ios,1,pre,1,5.45
94,ios,1,pre,1,5.73
95,ios,1,pre,1,5.99
96,ios,1,pre,1,5.82
97,ios,1,pre,1,4.17
98,ios,1,pre,1,4.9
99,ios,1,pre,1,5.41
100,ios,1,pre,1,3.83
101,ios,1,pre,1,4.43
102,ios,1,pre,1,5.56
103,ios,1,pre,1,5.45
104,ios,1,pre,1,7.51
105,ios,1,pre,1,4.98
106,ios,1,pre,1,2.59
107,ios,1,pre,1,3.41
108,ios,1,pre,1,5.43
109,ios,1,pre,1,4.05
110,ios,1,pre,1,4.46
111,ios,1,pre,1,4.88
112,ios,1,pre,1,3.94
113,ios,1,pre,1,5.69
114,ios,1,pre,1,5.72
115,ios,1,pre,1,5.89
116,ios,1,pre,1,4.71
117,ios,1,pre,1,5.84
118,ios,1,pre,1,6.74
119,ios,1,pre,1,5.46
120,ios,1,pre,1,5.01
121,ios,1,pre,1,3.99
122,ios,1,pre,1,4.66
123,ios,1,pre,1,4.61
124,ios,1,pre,1,6.52
125,ios,1,pre,1,5.77
126,ios,1,pre,1,5.85
127,ios,1,pre,1,5.21
128,ios,1,pre,1,4.48
129,ios,1,pre,1,6.1
130,ios,1,pre,1,6.77
131,ios,1,pre,1,4.86
