unit_id,platform,week,period,treated,outcome
1,ios,1,pre,1,6.27
2,ios,1,pre,1,3.56
3,ios,1,pre,1,3.54
4,ios,1,pre,1,4.5
5,ios,1,pre,1,5.31
6,ios,1,pre,1,6.53
7,ios,1,pre,1,4.56
8,ios,1,pre,1,4.81
9,ios,1,pre,1,3.76
10,ios,1,pre,1,3.01
11,ios,1,pre,1,5.29
12,ios,1,pre,1,3.97
13,ios,1,pre,1,2.87
14,ios,1,pre,1,4.06
15,ios,1,pre,1,6.19
16,ios,1,pre,1,3.69
17,ios,1,pre,1,6.46
18,ios,1,pre,1,5.63
19,ios,1,pre,1,4.38
20,ios,1,pre,1,3.07
21,ios,1,pre,1,4.33
22,ios,1,pre,1,3.8
23,ios,1,pre,1,4.25
24,ios,1,pre,1,3.95
25,ios,1,pre,1,8.38
26,ios,1,pre,1,2.33
27,ios,1,pre,1,5.57
28,ios,1,pre,1,3.91
29,ios,1,pre,1,2.57
30,ios,1,pre,1,5.16
31,ios,1,pre,1,6.15
32,ios,1,pre,1,3.85
33,ios,1,pre,1,5.55
34,ios,1,pre,1,3.82
35,ios,1,pre,1,4.71
36,ios,1,pre,1,5.84
37,ios,1,pre,1,4.24
38,ios,1,pre,1,3.77
39,ios,1,pre,1,3.34
40,ios,1,pre,1,3.4
41,ios,1,pre,1,5.5
42,ios,1,pre,1,2.51
43,ios,1,pre,1,2.07
44,ios,1,pre,1,3.25
45,ios,1,pre,1,3.33
46,ios,1,pre,1,4.96
47,ios,1,pre,1,6.21
48,ios,1,pre,1,3.34
49,ios,1,pre,1,3.63
50,ios,1,pre,1,5.92
51,ios,1,pre,1,5.11
52,ios,1,pre,1,5.56
53,ios,1,pre,1,5.9
54,ios,1,pre,1,5.05
55,ios,1,pre,1,3.82
56,ios,1,pre,1,6.04
57,ios,1,pre,1,3.16
58,ios,1,pre,1,3.46
59,ios,1,pre,1,5.23
60,ios,1,pre,1,2.73
61,ios,1,pre,1,5.72
62,ios,1,pre,1,4.43
63,ios,1,pre,1,5.13
64,ios,1,pre,1,3.07
65,ios,1,pre,1,5.19
66,ios,1,pre,1,3.41
67,ios,1,pre,1,4.72
68,ios,1,pre,1,5.98
69,ios,1,pre,1,5.75
70,ios,1,pre,1,4.94
71,ios,1,pre,1,6.13
72,ios,1,pre,1,5.08
73,ios,1,pre,1,4.28
74,ios,1,pre,1,3.15
75,ios,1,pre,1,3.68
