user_id,variant,assignment_date,converted,page_load_ms
1,treatment,2026-03-05,0,2285
2,control,2026-03-12,1,2592
3,treatment,2026-03-11,0,1066
4,control,2026-03-09,0,1314
5,treatment,2026-03-13,0,1468
6,control,2026-03-06,0,820
7,treatment,2026-03-11,0,1192
8,treatment,2026-03-11,0,1331
9,treatment,2026-03-15,0,2019
10,control,2026-03-08,1,990
11,treatment,2026-03-08,1,713
12,treatment,2026-03-05,1,1893
13,control,2026-03-06,1,1419
14,control,2026-03-09,1,1418
15,treatment,2026-03-14,0,1211
16,control,2026-03-07,0,983
17,control,2026-03-11,0,1531
18,control,2026-03-02,0,1474
19,treatment,2026-03-08,0,1660
20,treatment,2026-03-05,0,1391
21,treatment,2026-03-11,1,984
22,control,2026-03-07,0,2031
23,treatment,2026-03-04,0,1687
24,treatment,2026-03-04,1,1082
25,treatment,2026-03-05,1,1279
26,treatment,2026-03-09,1,968
27,control,2026-03-04,1,1259
28,control,2026-03-13,0,1316
29,treatment,2026-03-12,0,1476
30,control,2026-03-10,0,1398
31,treatment,2026-03-05,0,1353
32,control,2026-03-09,1,791
33,control,2026-03-07,0,2005
34,control,2026-03-14,0,871
35,treatment,2026-03-06,0,1419
36,treatment,2026-03-04,1,1526
37,treatment,2026-03-11,0,1448
38,treatment,2026-03-02,0,1820
39,control,2026-03-12,0,969
40,treatment,2026-03-15,0,1203
41,treatment,2026-03-11,0,1105
42,control,2026-03-06,1,1391
43,treatment,2026-03-03,0,1328
44,treatment,2026-03-12,1,1741
45,control,2026-03-06,1,1724
46,control,2026-03-09,0,1477
47,treatment,2026-03-13,0,1178
48,control,2026-03-02,0,1613
49,control,2026-03-08,0,625
50,control,2026-03-15,1,640
51,treatment,2026-03-09,0,2229
52,control,2026-03-14,0,1601
53,control,2026-03-07,1,2136
54,control,2026-03-13,0,1527
55,treatment,2026-03-07,0,2047
56,control,2026-03-15,0,1052
57,treatment,2026-03-15,1,764
58,treatment,2026-03-13,1,905
59,treatment,2026-03-05,0,1325
60,control,2026-03-09,0,1807
61,treatment,2026-03-13,1,947
62,treatment,2026-03-14,1,1734
63,treatment,2026-03-05,1,1243
64,control,2026-03-08,0,1206
65,treatment,2026-03-13,1,1344
66,control,2026-03-11,0,1157
67,treatment,2026-03-10,0,1368
68,treatment,2026-03-08,0,648
69,treatment,2026-03-07,1,812
70,treatment,2026-03-15,1,1104
71,treatment,2026-03-09,0,1250
72,control,2026-03-04,0,1661
73,treatment,2026-03-09,1,1648
