user_id,variant,assignment_date,sessions_14d,retained_30d
1,control,2026-03-02,10,1
2,treatment,2026-03-12,12,0
3,treatment,2026-03-14,8,1
4,treatment,2026-03-08,11,1
5,treatment,2026-03-05,12,0
6,treatment,2026-03-05,9,1
7,treatment,2026-03-03,17,0
8,treatment,2026-03-03,10,0
9,control,2026-03-04,7,0
10,control,2026-03-08,7,1
11,control,2026-03-12,11,1
12,treatment,2026-03-11,6,1
13,treatment,2026-03-11,11,1
14,treatment,2026-03-02,11,0
15,control,2026-03-04,12,1
16,control,2026-03-03,5,0
17,control,2026-03-07,4,0
18,treatment,2026-03-06,10,1
19,control,2026-03-09,11,0
20,treatment,2026-03-12,4,1
21,control,2026-03-09,6,0
22,treatment,2026-03-15,8,0
23,control,2026-03-04,8,1
24,control,2026-03-09,6,0
25,control,2026-03-08,8,1
26,control,2026-03-03,4,1
27,control,2026-03-07,8,0
28,control,2026-03-14,8,0
29,control,2026-03-04,6,1
30,control,2026-03-06,6,0
31,treatment,2026-03-08,9,0
32,control,2026-03-04,4,1
33,treatment,2026-03-14,13,0
34,treatment,2026-03-11,9,0
35,treatment,2026-03-14,6,0
36,treatment,2026-03-15,10,0
37,control,2026-03-02,6,0
38,treatment,2026-03-09,10,0
39,treatment,2026-03-10,11,0
40,treatment,2026-03-02,8,1
41,control,2026-03-02,4,0
42,treatment,2026-03-02,9,0
43,control,2026-03-13,2,0
44,control,2026-03-12,6,0
45,treatment,2026-03-02,5,0
46,treatment,2026-03-10,7,1
47,treatment,2026-03-04,9,0
48,treatment,2026-03-06,2,1
49,treatment,2026-03-12,7,0
50,treatment,2026-03-05,5,1
51,control,2026-03-14,10,0
52,treatment,2026-03-03,6,1
53,treatment,2026-03-05,6,1
54,control,2026-03-04,5,1
55,treatment,2026-03-02,11,0
56,control,2026-03-07,9,1
57,control,2026-03-10,8,0
58,control,2026-03-03,19,1
59,treatment,2026-03-14,6,0
60,control,2026-03-03,12,0
61,treatment,2026-03-09,13,1
62,control,2026-03-07,6,0
63,treatment,2026-03-04,8,1
64,treatment,2026-03-07,10,1
65,treatment,2026-03-15,16,1
66,control,2026-03-11,5,0
67,treatment,2026-03-11,8,1
68,treatment,2026-03-13,9,0
69,treatment,2026-03-13,11,1
70,control,2026-03-07,6,1
71,treatment,2026-03-02,10,0
72,control,2026-03-03,6,1
73,control,2026-03-11,10,1
74,control,2026-03-13,7,0
75,control,2026-03-05,11,0
76,control,2026-03-03,8,1
77,treatment,2026-03-10,8,1
78,treatment,2026-03-03,9,0
79,treatment,2026-03-15,5,0
80,treatment,2026-03-04,8,1
81,treatment,2026-03-15,6,1
82,control,2026-03-03,6,1
83,control,2026-03-07,7,1
84,treatment,2026-03-03,10,0
85,control,2026-03-11,7,1
86,treatment,2026-03-07,10,0
