user_id,variant,assignment_date,converted
1,treatment,2026-03-14,1
2,control,2026-03-13,0
3,treatment,2026-03-09,1
4,control,2026-03-02,0
5,treatment,2026-03-11,0
6,control,2026-03-04,0
7,control,2026-03-02,0
8,treatment,2026-03-12,0
9,control,2026-03-03,0
10,treatment,2026-03-07,1
11,control,2026-03-11,1
12,control,2026-03-08,0
13,control,2026-03-04,0
14,treatment,2026-03-15,0
15,control,2026-03-11,0
16,control,2026-03-09,0
17,treatment,2026-03-03,0
18,treatment,2026-03-02,0
19,control,2026-03-10,1
20,treatment,2026-03-09,0
21,treatment,2026-03-10,0
22,treatment,2026-03-10,0
23,control,2026-03-03,1
24,treatment,2026-03-13,0
25,treatment,2026-03-04,1
26,control,2026-03-15,1
27,treatment,2026-03-11,1
28,treatment,2026-03-08,0
29,control,2026-03-11,0
30,treatment,2026-03-13,0
31,treatment,2026-03-06,1
32,treatment,2026-03-02,0
33,treatment,2026-03-02,0
34,control,2026-03-07,0
35,treatment,2026-03-10,0
36,treatment,2026-03-11,0
37,treatment,2026-03-03,0
38,treatment,2026-03-05,0
39,treatment,2026-03-04,0
40,control,2026-03-10,1
41,treatment,2026-03-06,0
42,control,2026-03-14,0
43,control,2026-03-04,1
44,treatment,2026-03-08,1
45,treatment,2026-03-13,0
46,treatment,2026-03-15,0
47,treatment,2026-03-14,0
48,treatment,2026-03-04,1
49,control,2026-03-14,1
50,treatment,2026-03-05,0
51,treatment,2026-03-15,0
52,control,2026-03-11,0
53,control,2026-03-07,1
54,treatment,2026-03-12,0
55,treatment,2026-03-13,1
56,treatment,2026-03-10,1
57,treatment,2026-03-12,0
58,control,2026-03-04,1
59,control,2026-03-07,0
60,control,2026-03-10,0
61,control,2026-03-11,0
62,treatment,2026-03-09,0
63,treatment,2026-03-11,0
64,treatment,2026-03-07,1
65,treatment,2026-03-03,1
66,treatment,2026-03-05,1
67,control,2026-03-14,0
68,treatment,2026-03-13,1
69,control,2026-03-09,0
70,treatment,2026-03-10,0
71,treatment,2026-03-14,1
72,treatment,2026-03-12,0
73,treatment,2026-03-02,1
74,treatment,2026-03-06,1
75,treatment,2026-03-11,0
76,control,2026-03-02,0
77,treatment,2026-03-15,1
78,treatment,2026-03-03,0
79,control,2026-03-07,1
80,treatment,2026-03-03,1
81,control,2026-03-13,0
82,treatment,2026-03-08,0
83,control,2026-03-02,0
84,treatment,2026-03-03,0
85,control,2026-03-14,1
86,control,2026-03-05,0
87,control,2026-03-06,0
88,treatment,2026-03-13,0
89,treatment,2026-03-14,0
90,treatment,2026-03-04,0
91,control,2026-03-11,1
92,treatment,2026-03-03,0
93,treatment,2026-03-12,0
94,control,2026-03-12,1
95,control,2026-03-09,1
96,treatment,2026-03-10,0
97,treatment,2026-03-06,0
98,control,2026-03-11,0
99,treatment,2026-03-06,1
100,treatment,2026-03-05,0
101,treatment,2026-03-14,0
102,control,2026-03-07,1
103,treatment,2026-03-03,0
104,treatment,2026-03-03,0
105,treatment,2026-03-09,1
106,control,2026-03-07,0
107,treatment,2026-03-03,0
108,control,2026-03-11,0
109,control,2026-03-08,0
110,treatment,2026-03-15,0
111,control,2026-03-14,1
112,control,2026-03-08,1
113,control,2026-03-04,1
114,treatment,2026-03-12,1
115,treatment,2026-03-11,1
116,treatment,2026-03-03,0
117,treatment,2026-03-11,0
118,control,2026-03-10,0
119,control,2026-03-13,0
120,control,2026-03-02,0
121,treatment,2026-03-11,0
122,treatment,2026-03-05,0
123,control,2026-03-12,1
124,treatment,2026-03-04,0
125,treatment,2026-03-04,0
126,control,2026-03-09,0
127,control,2026-03-03,0
128,treatment,2026-03-07,0
129,control,2026-03-15,0
130,treatment,2026-03-06,0
131,treatment,2026-03-12,0
132,control,2026-03-09,0
133,control,2026-03-12,0
134,treatment,2026-03-07,1
135,control,2026-03-05,0
136,control,2026-03-08,0
137,control,2026-03-11,1
138,control,2026-03-03,0
139,treatment,2026-03-05,0
140,treatment,2026-03-15,0
141,control,2026-03-15,1
142,treatment,2026-03-13,0
143,treatment,2026-03-04,0
144,control,2026-03-02,1
145,control,2026-03-07,1
146,control,2026-03-05,1
147,treatment,2026-03-13,1
148,control,2026-03-04,1
149,control,2026-03-08,0
150,control,2026-03-03,0
151,treatment,2026-03-09,1
152,treatment,2026-03-04,0
153,control,2026-03-07,1
154,treatment,2026-03-14,0
155,treatment,2026-03-14,0
156,control,2026-03-05,0
157,control,2026-03-08,0
158,control,2026-03-13,0
159,treatment,2026-03-02,1
160,control,2026-03-10,1
161,control,2026-03-05,0
162,control,2026-03-05,1
163,control,2026-03-07,0
164,control,2026-03-13,1
