user_id,variant,assignment_date,converted
1,treatment,2026-03-06,0
2,treatment,2026-03-09,1
3,control,2026-03-05,1
4,treatment,2026-03-10,1
5,treatment,2026-03-07,1
6,treatment,2026-03-06,1
7,treatment,2026-03-15,0
8,control,2026-03-11,1
9,control,2026-03-11,1
10,treatment,2026-03-07,1
11,treatment,2026-03-05,0
12,control,2026-03-02,0
13,control,2026-03-10,0
14,treatment,2026-03-10,0
15,control,2026-03-11,0
16,control,2026-03-15,0
17,treatment,2026-03-08,0
18,control,2026-03-02,1
19,control,2026-03-03,1
20,control,2026-03-11,0
21,control,2026-03-09,0
22,treatment,2026-03-09,1
23,control,2026-03-14,0
24,treatment,2026-03-14,0
25,treatment,2026-03-10,0
26,control,2026-03-12,1
27,control,2026-03-09,0
28,control,2026-03-07,0
29,control,2026-03-02,0
30,treatment,2026-03-14,0
31,control,2026-03-07,0
32,control,2026-03-04,0
33,treatment,2026-03-09,0
34,control,2026-03-10,1
35,treatment,2026-03-07,0
36,treatment,2026-03-08,0
37,treatment,2026-03-05,1
38,control,2026-03-12,0
39,control,2026-03-13,0
40,treatment,2026-03-02,0
41,treatment,2026-03-13,1
42,treatment,2026-03-14,0
43,treatment,2026-03-08,0
44,treatment,2026-03-02,0
45,control,2026-03-10,0
46,control,2026-03-05,0
47,control,2026-03-12,0
48,treatment,2026-03-13,0
49,control,2026-03-08,1
50,treatment,2026-03-12,1
51,treatment,2026-03-10,0
52,control,2026-03-08,1
53,treatment,2026-03-03,1
54,control,2026-03-07,0
55,treatment,2026-03-13,1
56,control,2026-03-04,1
57,treatment,2026-03-14,0
58,control,2026-03-10,0
59,treatment,2026-03-04,1
60,treatment,2026-03-02,1
61,control,2026-03-04,1
62,treatment,2026-03-09,0
63,control,2026-03-12,0
64,treatment,2026-03-07,0
65,treatment,2026-03-10,1
66,control,2026-03-04,0
67,control,2026-03-15,1
68,control,2026-03-14,0
69,treatment,2026-03-11,0
70,control,2026-03-09,1
71,treatment,2026-03-09,0
72,treatment,2026-03-02,1
73,treatment,2026-03-11,0
74,treatment,2026-03-03,1
75,control,2026-03-14,1
76,treatment,2026-03-15,0
77,control,2026-03-13,0
78,control,2026-03-11,0
79,control,2026-03-14,1
80,treatment,2026-03-04,1
81,control,2026-03-15,0
82,treatment,2026-03-02,1
83,treatment,2026-03-14,1
84,control,2026-03-11,1
85,treatment,2026-03-09,0
86,control,2026-03-15,0
87,control,2026-03-06,0
88,treatment,2026-03-10,1
89,treatment,2026-03-02,0
90,treatment,2026-03-14,0
91,control,2026-03-06,0
92,control,2026-03-06,0
93,treatment,2026-03-10,1
94,control,2026-03-15,1
95,treatment,2026-03-13,0
96,treatment,2026-03-13,1
97,control,2026-03-04,1
98,treatment,2026-03-13,0
99,treatment,2026-03-05,0
100,control,2026-03-02,0
101,treatment,2026-03-14,0
102,control,2026-03-11,0
103,control,2026-03-11,0
104,treatment,2026-03-09,1
105,treatment,2026-03-08,0
106,control,2026-03-08,0
107,control,2026-03-02,1
108,treatment,2026-03-13,0
109,treatment,2026-03-12,0
110,treatment,2026-03-14,0
111,control,2026-03-11,0
112,control,2026-03-04,0
113,control,2026-03-03,0
114,treatment,2026-03-14,0
115,treatment,2026-03-15,1
116,treatment,2026-03-02,0
117,control,2026-03-06,0
118,treatment,2026-03-11,1
119,control,2026-03-07,0
120,treatment,2026-03-04,0
121,control,2026-03-15,0
122,treatment,2026-03-13,0
123,treatment,2026-03-14,0
124,treatment,2026-03-08,0
125,treatment,2026-03-14,1
126,control,2026-03-09,1
127,control,2026-03-13,1
128,treatment,2026-03-10,1
129,control,2026-03-12,0
130,control,2026-03-03,0
131,treatment,2026-03-10,0
132,treatment,2026-03-11,0
133,control,2026-03-15,0
134,control,2026-03-03,1
135,treatment,2026-03-08,0
136,control,2026-03-04,0
137,control,2026-03-12,0
138,treatment,2026-03-03,0
139,control,2026-03-03,1
140,treatment,2026-03-12,0
141,control,2026-03-11,0
142,treatment,2026-03-05,0
143,control,2026-03-10,0
144,treatment,2026-03-09,1
145,treatment,2026-03-15,1
146,control,2026-03-14,0
147,control,2026-03-14,0
148,treatment,2026-03-04,0
149,treatment,2026-03-06,0
150,treatment,2026-03-05,0
151,control,2026-03-11,0
152,control,2026-03-02,0
153,control,2026-03-13,0
154,control,2026-03-13,0
155,treatment,2026-03-03,0
156,treatment,2026-03-11,1
157,control,2026-03-15,0
158,control,2026-03-15,0
159,control,2026-03-10,0
160,control,2026-03-02,0
161,treatment,2026-03-07,0
162,control,2026-03-11,0
163,control,2026-03-04,0
164,treatment,2026-03-05,0
165,treatment,2026-03-13,1
166,control,2026-03-15,1
167,treatment,2026-03-06,1
168,control,2026-03-13,0
169,control,2026-03-08,1
170,treatment,2026-03-12,0
171,treatment,2026-03-14,1
172,control,2026-03-15,0
173,treatment,2026-03-10,0
174,control,2026-03-15,0
175,control,2026-03-02,1
176,treatment,2026-03-09,0
177,treatment,2026-03-04,1
178,control,2026-03-04,1
179,control,2026-03-05,0
180,control,2026-03-05,0
181,treatment,2026-03-03,0
182,control,2026-03-08,0
183,control,2026-03-09,0
184,treatment,2026-03-10,0
185,treatment,2026-03-05,0
186,treatment,2026-03-03,0
187,treatment,2026-03-04,0
188,treatment,2026-03-07,0
189,control,2026-03-09,0
190,control,2026-03-11,1
191,treatment,2026-03-13,0
192,control,2026-03-13,0
193,control,2026-03-09,0
194,treatment,2026-03-15,0
195,treatment,2026-03-06,0
196,control,2026-03-03,1
197,control,2026-03-13,0
198,control,2026-03-07,1
199,treatment,2026-03-04,0
200,control,2026-03-05,0
201,control,2026-03-07,0
202,control,2026-03-13,0
203,treatment,2026-03-03,0
204,control,2026-03-14,1
205,control,2026-03-11,0
206,control,2026-03-06,0
207,treatment,2026-03-10,0
208,control,2026-03-04,0
209,treatment,2026-03-03,0
210,treatment,2026-03-10,1
211,treatment,2026-03-08,0
212,control,2026-03-10,1
213,control,2026-03-02,1
214,control,2026-03-12,0
215,control,2026-03-14,0
216,control,2026-03-04,1
217,treatment,2026-03-03,0
218,control,2026-03-13,0
219,control,2026-03-12,0
220,control,2026-03-08,0
221,control,2026-03-09,0
222,control,2026-03-11,0
223,treatment,2026-03-02,0
224,treatment,2026-03-11,1
225,control,2026-03-14,1
226,treatment,2026-03-15,1
227,treatment,2026-03-02,0
228,treatment,2026-03-15,0
229,control,2026-03-03,0
230,control,2026-03-10,0
231,control,2026-03-10,0
232,control,2026-03-13,1
233,treatment,2026-03-10,0
234,treatment,2026-03-09,0
235,treatment,2026-03-02,0
236,control,2026-03-09,0
237,treatment,2026-03-10,1
238,control,2026-03-06,1
239,control,2026-03-04,0
240,control,2026-03-06,1
241,control,2026-03-06,1
242,treatment,2026-03-12,0
243,control,2026-03-13,1
244,control,2026-03-09,0
245,control,2026-03-08,1
246,control,2026-03-12,1
247,treatment,2026-03-03,0
248,treatment,2026-03-08,0
249,treatment,2026-03-14,0
250,control,2026-03-07,1
251,control,2026-03-03,0
252,control,2026-03-12,0
253,control,2026-03-04,1
254,treatment,2026-03-03,0
255,control,2026-03-06,1
256,treatment,2026-03-04,0
257,treatment,2026-03-06,0
258,control,2026-03-02,0
259,control,2026-03-10,0
260,control,2026-03-12,1
261,control,2026-03-06,1
262,control,2026-03-15,0
263,treatment,2026-03-14,0
264,control,2026-03-04,0
265,control,2026-03-07,1
266,control,2026-03-11,0
267,treatment,2026-03-12,0
268,control,2026-03-03,1
269,treatment,2026-03-13,0
270,treatment,2026-03-07,1
271,treatment,2026-03-08,0
272,treatment,2026-03-13,0
273,treatment,2026-03-06,0
274,control,2026-03-07,0
275,control,2026-03-11,0
276,treatment,2026-03-09,0
277,treatment,2026-03-10,1
278,control,2026-03-14,0
279,control,2026-03-10,1
280,control,2026-03-10,0
281,control,2026-03-05,0
282,treatment,2026-03-03,1
283,treatment,2026-03-05,0
284,treatment,2026-03-12,0
285,treatment,2026-03-09,1
286,control,2026-03-11,0
287,control,2026-03-09,0
288,treatment,2026-03-10,1
289,treatment,2026-03-05,1
290,treatment,2026-03-06,1
291,control,2026-03-14,0
292,control,2026-03-13,1
293,treatment,2026-03-03,0
294,treatment,2026-03-09,0
295,control,2026-03-11,1
296,control,2026-03-06,0
297,control,2026-03-10,1
298,control,2026-03-04,0
299,control,2026-03-14,0
300,treatment,2026-03-07,0
301,control,2026-03-06,0
302,control,2026-03-15,0
303,control,2026-03-14,1
304,treatment,2026-03-03,0
305,treatment,2026-03-14,0
306,control,2026-03-07,0
307,treatment,2026-03-10,1
308,treatment,2026-03-09,0
309,control,2026-03-15,0
310,control,2026-03-09,0
311,control,2026-03-10,0
312,treatment,2026-03-09,0
313,control,2026-03-02,0
314,treatment,2026-03-13,0
315,control,2026-03-10,0
316,treatment,2026-03-07,0
317,treatment,2026-03-15,0
318,treatment,2026-03-15,0
319,control,2026-03-14,1
320,control,2026-03-08,0
321,control,2026-03-07,0
322,treatment,2026-03-14,0
323,treatment,2026-03-03,0
324,control,2026-03-02,0
325,treatment,2026-03-13,1
326,treatment,2026-03-03,0
327,control,2026-03-10,0
328,control,2026-03-04,1
329,control,2026-03-02,0
330,treatment,2026-03-10,0
331,treatment,2026-03-10,1
332,control,2026-03-12,0
333,treatment,2026-03-03,1
334,treatment,2026-03-07,0
335,control,2026-03-15,1
336,control,2026-03-05,0
337,treatment,2026-03-09,1
338,control,2026-03-15,0
339,treatment,2026-03-13,0
340,control,2026-03-12,1
341,control,2026-03-08,1
342,treatment,2026-03-05,0
343,control,2026-03-09,1
344,treatment,2026-03-14,0
345,control,2026-03-07,0
346,control,2026-03-10,1
347,control,2026-03-14,1
348,treatment,2026-03-07,0
349,treatment,2026-03-02,1
350,treatment,2026-03-11,0
351,control,2026-03-15,1
352,treatment,2026-03-11,1
353,control,2026-03-10,0
354,treatment,2026-03-10,0
355,control,2026-03-08,0
356,treatment,2026-03-06,0
357,control,2026-03-13,1
358,treatment,2026-03-09,1
359,treatment,2026-03-13,1
360,treatment,2026-03-02,0
361,treatment,2026-03-02,0
362,control,2026-03-06,1
363,control,2026-03-08,1
364,control,2026-03-03,1
365,treatment,2026-03-06,0
366,treatment,2026-03-07,1
367,treatment,2026-03-06,0
368,control,2026-03-04,1
369,control,2026-03-06,0
370,treatment,2026-03-15,1
371,control,2026-03-11,0
372,treatment,2026-03-08,1
373,treatment,2026-03-09,0
374,control,2026-03-11,1
375,treatment,2026-03-10,1
376,treatment,2026-03-05,0
377,treatment,2026-03-10,0
378,treatment,2026-03-03,1
379,control,2026-03-13,0
380,control,2026-03-08,1
381,treatment,2026-03-09,0
382,treatment,2026-03-15,1
383,control,2026-03-04,0
384,treatment,2026-03-08,0
385,control,2026-03-15,1
386,control,2026-03-15,0
387,treatment,2026-03-02,0
388,treatment,2026-03-03,1
389,treatment,2026-03-02,1
390,control,2026-03-08,0
391,control,2026-03-07,0
392,control,2026-03-11,0
393,control,2026-03-05,1
394,control,2026-03-03,1
395,control,2026-03-05,1
396,treatment,2026-03-15,0
397,control,2026-03-11,1
398,treatment,2026-03-04,0
399,treatment,2026-03-07,0
400,treatment,2026-03-14,0
401,treatment,2026-03-15,0
402,treatment,2026-03-02,0
403,control,2026-03-03,1
404,control,2026-03-02,1
405,treatment,2026-03-04,1
406,control,2026-03-03,0
407,control,2026-03-08,0
408,treatment,2026-03-14,1
409,control,2026-03-05,0
410,control,2026-03-13,0
411,treatment,2026-03-11,1
412,treatment,2026-03-02,0
413,treatment,2026-03-05,0
414,treatment,2026-03-10,0
415,treatment,2026-03-11,0
416,treatment,2026-03-04,1
417,control,2026-03-03,0
418,control,2026-03-09,1
419,treatment,2026-03-06,1
420,treatment,2026-03-12,1
421,treatment,2026-03-05,0
422,treatment,2026-03-07,1
423,treatment,2026-03-06,0
424,treatment,2026-03-05,0
425,control,2026-03-11,0
426,treatment,2026-03-13,0
427,control,2026-03-08,1
428,treatment,2026-03-09,0
429,control,2026-03-03,0
430,control,2026-03-04,0
431,treatment,2026-03-11,0
432,control,2026-03-11,0
433,control,2026-03-04,0
434,treatment,2026-03-10,0
435,treatment,2026-03-15,0
436,control,2026-03-08,0
437,treatment,2026-03-05,0
438,treatment,2026-03-06,0
439,treatment,2026-03-14,0
440,control,2026-03-04,0
441,treatment,2026-03-11,1
442,treatment,2026-03-08,1
443,control,2026-03-11,1
444,treatment,2026-03-15,0
445,treatment,2026-03-04,0
446,treatment,2026-03-05,0
447,treatment,2026-03-02,0
448,control,2026-03-03,0
449,control,2026-03-11,1
450,treatment,2026-03-08,1
451,control,2026-03-02,0
452,control,2026-03-11,0
453,treatment,2026-03-06,1
454,treatment,2026-03-08,0
455,treatment,2026-03-11,0
456,treatment,2026-03-03,1
457,control,2026-03-03,0
458,treatment,2026-03-05,0
459,control,2026-03-02,0
460,control,2026-03-02,0
461,treatment,2026-03-02,0
462,control,2026-03-02,1
463,control,2026-03-12,0
464,control,2026-03-11,0
465,control,2026-03-14,0
466,treatment,2026-03-05,0
467,control,2026-03-11,0
468,treatment,2026-03-02,1
469,treatment,2026-03-08,0
470,control,2026-03-10,1
471,control,2026-03-11,0
472,treatment,2026-03-05,0
473,treatment,2026-03-09,0
474,treatment,2026-03-11,0
475,treatment,2026-03-15,1
476,treatment,2026-03-05,1
477,control,2026-03-15,0
478,treatment,2026-03-12,1
479,control,2026-03-02,0
480,treatment,2026-03-09,1
481,control,2026-03-13,0
482,control,2026-03-09,0
483,treatment,2026-03-02,1
484,treatment,2026-03-12,1
485,treatment,2026-03-11,0
486,treatment,2026-03-04,0
487,control,2026-03-13,1
488,treatment,2026-03-04,1
489,control,2026-03-02,0
490,control,2026-03-12,0
491,control,2026-03-04,0
492,treatment,2026-03-06,1
493,control,2026-03-14,0
494,control,2026-03-10,0
495,treatment,2026-03-09,0
496,treatment,2026-03-08,0
497,control,2026-03-02,1
498,treatment,2026-03-13,0
499,treatment,2026-03-03,0
500,control,2026-03-02,0
501,control,2026-03-06,0
502,treatment,2026-03-12,0
503,control,2026-03-02,1
504,control,2026-03-14,1
505,control,2026-03-11,0
506,treatment,2026-03-11,1
507,treatment,2026-03-02,0
508,control,2026-03-09,0
509,treatment,2026-03-07,0
510,control,2026-03-12,0
511,treatment,2026-03-14,0
512,control,2026-03-09,1
513,treatment,2026-03-12,1
514,control,2026-03-10,0
515,control,2026-03-06,1
516,control,2026-03-14,0
517,control,2026-03-10,0
518,control,2026-03-03,1
519,control,2026-03-12,0
520,treatment,2026-03-02,0
521,treatment,2026-03-08,1
522,control,2026-03-14,1
523,control,2026-03-09,0
524,control,2026-03-07,0
525,treatment,2026-03-15,0
526,control,2026-03-04,0
527,treatment,2026-03-06,1
528,control,2026-03-02,1
529,treatment,2026-03-03,0
530,treatment,2026-03-02,1
531,treatment,2026-03-14,0
532,treatment,2026-03-04,1
533,control,2026-03-09,1
534,control,2026-03-12,1
535,treatment,2026-03-07,0
536,control,2026-03-13,0
537,control,2026-03-04,0
538,treatment,2026-03-03,1
539,control,2026-03-04,0
540,control,2026-03-06,0
541,treatment,2026-03-07,0
542,treatment,2026-03-04,1
543,control,2026-03-08,0
544,treatment,2026-03-06,1
545,treatment,2026-03-06,1
546,treatment,2026-03-09,0
547,treatment,2026-03-02,0
548,treatment,2026-03-02,1
549,control,2026-03-12,0
550,control,2026-03-07,1
551,control,2026-03-04,0
552,treatment,2026-03-05,0
553,control,2026-03-08,1
554,control,2026-03-05,0
555,treatment,2026-03-04,1
556,control,2026-03-12,0
557,treatment,2026-03-06,0
558,treatment,2026-03-13,0
559,control,2026-03-04,1
560,control,2026-03-14,1
561,treatment,2026-03-12,1
562,treatment,2026-03-11,1
563,control,2026-03-07,1
564,treatment,2026-03-06,1
565,control,2026-03-12,0
566,treatment,2026-03-14,1
567,control,2026-03-02,0
568,control,2026-03-14,0
569,treatment,2026-03-07,0
570,control,2026-03-03,0
571,control,2026-03-09,0
572,control,2026-03-03,0
573,control,2026-03-14,0
574,control,2026-03-06,0
575,treatment,2026-03-12,1
576,control,2026-03-15,0
577,control,2026-03-09,0
578,treatment,2026-03-14,1
579,treatment,2026-03-11,0
580,treatment,2026-03-08,0
581,treatment,2026-03-03,1
582,treatment,2026-03-09,0
583,control,2026-03-13,1
584,control,2026-03-10,1
585,control,2026-03-09,1
586,treatment,2026-03-09,0
587,control,2026-03-14,0
588,treatment,2026-03-03,1
589,control,2026-03-14,0
590,control,2026-03-08,0
591,treatment,2026-03-03,1
592,control,2026-03-11,1
593,treatment,2026-03-03,0
594,control,2026-03-07,0
595,control,2026-03-09,1
596,control,2026-03-06,1
597,control,2026-03-05,0
598,treatment,2026-03-12,0
599,control,2026-03-09,1
600,control,2026-03-09,0
601,control,2026-03-09,0
602,control,2026-03-03,0
603,treatment,2026-03-06,0
604,control,2026-03-04,1
605,control,2026-03-05,1
606,treatment,2026-03-10,0
607,control,2026-03-12,1
608,treatment,2026-03-14,1
609,treatment,2026-03-15,1
610,control,2026-03-13,0
611,treatment,2026-03-12,0
612,treatment,2026-03-11,0
613,control,2026-03-08,0
614,control,2026-03-07,0
615,control,2026-03-05,0
616,treatment,2026-03-06,1
617,control,2026-03-10,0
618,control,2026-03-06,0
619,treatment,2026-03-04,0
620,control,2026-03-09,0
621,control,2026-03-10,0
622,treatment,2026-03-14,1
623,treatment,2026-03-02,0
624,control,2026-03-10,1
625,treatment,2026-03-07,0
626,control,2026-03-10,0
627,treatment,2026-03-03,0
628,treatment,2026-03-12,1
629,treatment,2026-03-06,0
630,control,2026-03-10,0
631,control,2026-03-10,0
632,treatment,2026-03-14,0
633,control,2026-03-09,0
634,treatment,2026-03-11,0
635,control,2026-03-06,0
636,control,2026-03-07,0
637,treatment,2026-03-13,0
638,control,2026-03-11,0
639,treatment,2026-03-03,1
640,control,2026-03-13,1
641,treatment,2026-03-15,0
642,control,2026-03-02,1
643,control,2026-03-10,1
644,treatment,2026-03-10,0
645,treatment,2026-03-11,1
646,treatment,2026-03-10,0
647,treatment,2026-03-13,0
648,control,2026-03-08,1
649,treatment,2026-03-12,0
650,control,2026-03-13,0
651,treatment,2026-03-12,1
652,treatment,2026-03-09,0
653,treatment,2026-03-11,0
654,treatment,2026-03-13,1
655,treatment,2026-03-15,0
656,treatment,2026-03-08,0
657,treatment,2026-03-08,0
658,control,2026-03-06,1
659,control,2026-03-14,1
660,control,2026-03-03,0
661,treatment,2026-03-04,0
662,control,2026-03-10,0
663,treatment,2026-03-12,1
664,control,2026-03-02,1
665,treatment,2026-03-04,0
666,treatment,2026-03-04,0
667,control,2026-03-02,0
668,treatment,2026-03-11,0
669,treatment,2026-03-02,0
670,control,2026-03-09,0
671,control,2026-03-07,0
672,treatment,2026-03-03,1
673,control,2026-03-08,1
674,control,2026-03-10,0
675,treatment,2026-03-10,0
676,control,2026-03-13,0
677,control,2026-03-05,0
678,control,2026-03-02,1
679,treatment,2026-03-11,0
680,treatment,2026-03-04,0
681,treatment,2026-03-07,0
682,treatment,2026-03-13,0
683,control,2026-03-05,0
684,control,2026-03-15,0
685,control,2026-03-10,1
686,control,2026-03-10,0
687,treatment,2026-03-15,1
688,control,2026-03-05,0
689,control,2026-03-09,1
690,treatment,2026-03-13,1
691,control,2026-03-12,0
692,control,2026-03-10,0
693,control,2026-03-02,0
694,treatment,2026-03-07,0
695,treatment,2026-03-06,0
696,control,2026-03-11,0
697,control,2026-03-14,0
698,treatment,2026-03-14,1
699,control,2026-03-02,1
700,control,2026-03-08,0
701,control,2026-03-04,1
702,control,2026-03-09,0
703,treatment,2026-03-07,0
704,control,2026-03-14,1
705,treatment,2026-03-04,0
706,control,2026-03-15,1
707,control,2026-03-04,0
708,control,2026-03-04,0
709,control,2026-03-09,0
710,control,2026-03-12,0
711,treatment,2026-03-04,0
712,treatment,2026-03-06,1
713,control,2026-03-12,1
714,treatment,2026-03-10,1
715,control,2026-03-03,0
716,treatment,2026-03-15,1
717,treatment,2026-03-02,0
718,treatment,2026-03-13,0
719,control,2026-03-12,0
720,control,2026-03-09,0
721,treatment,2026-03-15,0
722,control,2026-03-08,1
723,treatment,2026-03-04,1
724,treatment,2026-03-15,0
725,control,2026-03-14,0
726,treatment,2026-03-06,0
727,treatment,2026-03-15,0
728,treatment,2026-03-02,1
729,treatment,2026-03-13,0
730,control,2026-03-06,0
731,control,2026-03-03,0
732,treatment,2026-03-06,0
733,control,2026-03-03,1
734,treatment,2026-03-10,1
735,treatment,2026-03-05,1
736,treatment,2026-03-06,0
737,control,2026-03-03,0
738,treatment,2026-03-05,1
739,treatment,2026-03-03,0
740,control,2026-03-03,0
741,treatment,2026-03-11,0
742,control,2026-03-10,0
743,control,2026-03-05,1
744,control,2026-03-15,0
745,treatment,2026-03-13,0
746,control,2026-03-08,0
747,control,2026-03-10,0
748,control,2026-03-14,0
749,treatment,2026-03-11,0
750,control,2026-03-02,1
751,treatment,2026-03-06,0
752,treatment,2026-03-09,0
753,control,2026-03-08,0
754,treatment,2026-03-14,1
755,control,2026-03-03,0
756,control,2026-03-04,0
757,treatment,2026-03-10,1
758,treatment,2026-03-03,1
759,control,2026-03-04,1
760,control,2026-03-07,1
761,treatment,2026-03-13,0
762,control,2026-03-08,1
763,treatment,2026-03-13,0
764,control,2026-03-03,0
765,control,2026-03-06,1
766,control,2026-03-09,0
767,control,2026-03-06,1
768,control,2026-03-02,0
769,control,2026-03-04,1
770,treatment,2026-03-06,1
771,control,2026-03-07,0
772,control,2026-03-02,0
773,treatment,2026-03-03,0
774,control,2026-03-02,1
775,control,2026-03-11,1
776,treatment,2026-03-11,0
777,treatment,2026-03-15,1
778,control,2026-03-15,0
779,treatment,2026-03-11,0
780,control,2026-03-14,0
781,treatment,2026-03-14,0
782,control,2026-03-04,1
783,control,2026-03-05,1
784,treatment,2026-03-15,0
785,treatment,2026-03-12,1
786,control,2026-03-11,0
787,treatment,2026-03-06,0
788,control,2026-03-03,0
789,control,2026-03-10,0
790,treatment,2026-03-13,0
791,control,2026-03-13,1
792,control,2026-03-04,0
793,control,2026-03-10,0
794,treatment,2026-03-14,1
795,control,2026-03-03,0
796,treatment,2026-03-02,1
797,treatment,2026-03-15,0
798,control,2026-03-07,1
799,treatment,2026-03-11,0
800,control,2026-03-08,1
801,control,2026-03-03,0
802,control,2026-03-04,0
803,control,2026-03-13,0
804,treatment,2026-03-14,1
805,treatment,2026-03-15,0
806,treatment,2026-03-10,0
807,control,2026-03-05,1
808,control,2026-03-08,0
809,treatment,2026-03-03,0
810,treatment,2026-03-09,1
811,control,2026-03-03,0
812,control,2026-03-03,0
813,control,2026-03-10,0
814,treatment,2026-03-14,0
815,control,2026-03-13,1
816,treatment,2026-03-08,0
817,treatment,2026-03-13,1
818,control,2026-03-03,0
819,control,2026-03-08,1
820,control,2026-03-13,0
821,treatment,2026-03-02,0
822,control,2026-03-05,1
823,treatment,2026-03-14,0
824,treatment,2026-03-14,0
825,treatment,2026-03-03,0
826,control,2026-03-13,0
827,treatment,2026-03-12,0
828,control,2026-03-08,1
829,control,2026-03-07,1
830,treatment,2026-03-04,0
831,treatment,2026-03-10,0
832,control,2026-03-04,1
833,control,2026-03-15,0
834,control,2026-03-04,0
835,control,2026-03-10,0
836,control,2026-03-10,1
837,control,2026-03-12,1
838,control,2026-03-04,0
839,treatment,2026-03-08,1
840,control,2026-03-15,1
841,treatment,2026-03-04,1
842,control,2026-03-02,0
843,control,2026-03-09,1
844,treatment,2026-03-06,0
845,treatment,2026-03-10,0
846,control,2026-03-07,1
847,treatment,2026-03-07,0
848,treatment,2026-03-02,0
849,treatment,2026-03-07,0
