user_id,variant,assignment_date,converted
1,treatment,2026-03-05,0
2,control,2026-03-14,1
3,treatment,2026-03-14,1
4,control,2026-03-11,0
5,treatment,2026-03-09,0
6,treatment,2026-03-08,0
7,control,2026-03-04,0
8,treatment,2026-03-08,1
9,treatment,2026-03-07,0
10,treatment,2026-03-09,0
11,treatment,2026-03-07,1
12,control,2026-03-14,0
13,control,2026-03-15,1
14,control,2026-03-10,0
15,control,2026-03-12,0
16,treatment,2026-03-08,0
17,treatment,2026-03-11,0
18,treatment,2026-03-04,1
19,control,2026-03-06,0
20,treatment,2026-03-09,0
21,control,2026-03-04,1
22,control,2026-03-07,1
23,control,2026-03-08,0
24,control,2026-03-13,0
25,control,2026-03-03,0
26,treatment,2026-03-04,0
27,treatment,2026-03-02,0
28,control,2026-03-12,0
29,treatment,2026-03-15,0
30,treatment,2026-03-13,0
31,control,2026-03-11,0
32,treatment,2026-03-12,0
33,treatment,2026-03-11,0
34,control,2026-03-07,0
35,treatment,2026-03-11,1
36,treatment,2026-03-12,0
37,control,2026-03-14,0
38,treatment,2026-03-02,0
39,control,2026-03-11,0
40,control,2026-03-14,0
41,treatment,2026-03-11,1
42,control,2026-03-04,1
43,control,2026-03-05,0
44,control,2026-03-14,0
45,treatment,2026-03-06,0
46,treatment,2026-03-10,1
47,treatment,2026-03-08,1
48,treatment,2026-03-13,1
49,treatment,2026-03-08,0
50,treatment,2026-03-13,0
51,control,2026-03-04,1
52,control,2026-03-13,1
53,control,2026-03-02,1
54,treatment,2026-03-13,0
55,control,2026-03-15,0
56,treatment,2026-03-13,0
57,control,2026-03-09,1
58,control,2026-03-05,0
59,control,2026-03-09,1
60,control,2026-03-08,0
61,control,2026-03-08,0
62,treatment,2026-03-15,0
63,control,2026-03-10,1
64,treatment,2026-03-03,0
65,control,2026-03-02,0
66,control,2026-03-02,1
67,control,2026-03-08,1
68,treatment,2026-03-10,1
69,control,2026-03-06,0
70,control,2026-03-11,0
71,control,2026-03-07,1
72,control,2026-03-02,0
73,control,2026-03-15,1
74,treatment,2026-03-05,1
75,control,2026-03-02,0
76,control,2026-03-12,1
77,control,2026-03-04,1
78,treatment,2026-03-09,0
79,treatment,2026-03-02,0
80,control,2026-03-09,1
81,control,2026-03-14,0
82,control,2026-03-06,0
83,control,2026-03-10,0
84,treatment,2026-03-07,0
85,treatment,2026-03-05,0
86,control,2026-03-14,0
87,treatment,2026-03-09,0
88,treatment,2026-03-02,0
89,control,2026-03-04,0
90,treatment,2026-03-07,0
91,treatment,2026-03-08,0
92,control,2026-03-06,1
93,control,2026-03-04,0
94,treatment,2026-03-03,1
95,control,2026-03-07,1
96,treatment,2026-03-13,0
97,treatment,2026-03-05,0
98,treatment,2026-03-07,0
99,control,2026-03-02,1
100,treatment,2026-03-12,1
101,control,2026-03-12,0
102,treatment,2026-03-03,1
103,treatment,2026-03-10,0
104,treatment,2026-03-04,0
105,control,2026-03-14,0
106,control,2026-03-10,1
107,treatment,2026-03-11,1
108,control,2026-03-14,0
109,control,2026-03-02,1
110,treatment,2026-03-10,0
111,treatment,2026-03-02,1
112,control,2026-03-02,0
113,treatment,2026-03-06,0
114,control,2026-03-10,1
115,treatment,2026-03-04,0
116,control,2026-03-15,0
117,treatment,2026-03-12,1
118,treatment,2026-03-08,1
119,treatment,2026-03-08,0
120,treatment,2026-03-12,0
121,treatment,2026-03-13,1
122,treatment,2026-03-07,0
123,treatment,2026-03-09,1
124,control,2026-03-02,0
125,control,2026-03-08,1
126,control,2026-03-04,1
127,control,2026-03-04,1
128,treatment,2026-03-15,1
129,treatment,2026-03-11,1
130,control,2026-03-03,1
131,treatment,2026-03-07,1
132,control,2026-03-07,1
133,control,2026-03-07,0
134,treatment,2026-03-14,0
135,treatment,2026-03-15,1
136,control,2026-03-08,1
137,treatment,2026-03-04,1
138,treatment,2026-03-09,1
139,control,2026-03-11,1
140,control,2026-03-09,1
141,control,2026-03-02,1
142,treatment,2026-03-13,1
143,treatment,2026-03-12,1
144,treatment,2026-03-08,1
145,treatment,2026-03-06,1
146,control,2026-03-09,1
147,control,2026-03-10,1
148,control,2026-03-03,1
149,treatment,2026-03-06,0
150,control,2026-03-08,1
151,control,2026-03-10,0
152,treatment,2026-03-11,1
153,control,2026-03-14,0
154,control,2026-03-02,0
155,control,2026-03-02,0
156,treatment,2026-03-04,0
157,treatment,2026-03-08,0
158,control,2026-03-06,0
159,control,2026-03-11,0
160,treatment,2026-03-15,0
161,treatment,2026-03-11,1
162,control,2026-03-04,1
163,treatment,2026-03-07,0
164,treatment,2026-03-13,1
