date,luxury_hotel,four_seasons,intercontinental,jw_marriott,kimpton,hyatt_regency,five_star_hotel
2021-02-21,32,13,7,54,19,68.1,16.3
2021-02-28,33,14,8,57,20,71.1,16.3
2021-03-07,35,15,10,65,20,77.0,17.8
2021-03-14,33,14,10,66,21,77.0,19.3
2021-03-21,35,14,10,64,19,80.0,17.8
2021-03-28,35,16,11,65,21,85.9,17.8
2021-04-04,40,16,11,64,21,85.9,16.3
2021-04-11,41,15,11,62,22,81.5,17.8
2021-04-18,39,15,12,64,23,83.0,17.8
2021-04-25,35,15,11,60,22,84.4,16.3
2021-05-02,38,16,11,62,23,91.8,16.3
2021-05-09,37,15,12,65,23,91.8,16.3
2021-05-16,38,16,12,65,24,91.8,17.8
2021-05-23,34,16,11,65,26,97.8,16.3
2021-05-30,37,16,12,68,26,90.4,16.3
2021-06-06,36,16,12,75,26,112.6,16.3
2021-06-13,38,17,15,72,25,109.6,17.8
2021-06-20,37,16,15,73,27,115.5,17.8
2021-06-27,45,16,13,69,28,120.0,17.8
2021-07-04,41,17,14,72,27,120.0,17.8
2021-07-11,40,18,15,71,27,128.9,17.8
2021-07-18,37,16,13,74,26,112.6,17.8
2021-07-25,39,16,13,70,24,109.6,17.8
2021-08-01,41,14,12,77,23,99.2,16.3
2021-08-08,35,15,13,60,21,94.8,17.8
2021-08-15,36,15,11,59,22,87.4,16.3
2021-08-22,34,15,12,55,21,88.9,16.3
2021-08-29,34,13,11,55,21,84.4,14.8
2021-09-05,33,15,11,55,20,81.5,14.8
2021-09-12,34,14,11,55,20,80.0,14.8
2021-09-19,35,15,12,53,20,85.9,14.8
2021-09-26,35,15,12,56,22,84.4,14.8
2021-10-03,35,15,12,57,21,87.4,13.3
2021-10-10,38,15,12,58,23,91.8,14.8
2021-10-17,35,16,13,60,21,88.9,14.8
2021-10-24,37,15,12,57,18,83.0,16.3
2021-10-31,37,14,12,59,19,84.4,14.8
2021-11-07,41,16,13,58,19,91.8,14.8
2021-11-14,37,14,13,56,19,78.5,16.3
2021-11-21,35,15,10,55,17,80.0,13.3
2021-11-28,35,16,12,55,18,80.0,14.8
2021-12-05,31,15,13,58,19,85.9,14.8
2021-12-12,28,14,11,58,18,77.0,11.9
2021-12-19,28,14,9,51,16,75.5,13.3
2021-12-26,35,16,10,61,20,85.9,16.3
2022-01-02,41,19,11,63,20,85.9,16.3
2022-01-09,40,19,10,69,21,88.9,17.8
2022-01-16,39,17,10,62,20,83.0,14.8
2022-01-23,40,17,11,66,25,85.9,16.3
2022-01-30,39,18,13,65,25,97.8,16.3
2022-02-06,44,21,15,85,29,103.7,19.3
2022-02-13,44,20,15,70,29,112.6,17.8
2022-02-20,42,21,15,70,28,121.5,19.3
2022-02-27,39,20,15,78,27,120.0,16.3
2022-03-06,41,19,15,85,26,124.4,16.3
2022-03-13,40,18,15,82,28,131.8,16.3
2022-03-20,44,20,15,75,28,125.9,16.3
2022-03-27,41,20,14,72,26,117.0,16.3
2022-04-03,41,20,15,75,27,124.4,16.3
2022-04-10,38,19,14,68,25,115.5,14.8
2022-04-17,41,19,14,69,26,124.4,16.3
2022-04-24,40,19,13,61,25,118.5,16.3
2022-05-01,38,20,16,66,26,108.1,16.3
2022-05-08,39,19,14,74,25,118.5,17.8
2022-05-15,38,17,13,71,26,114.1,14.8
2022-05-22,39,18,14,66,26,120.0,14.8
2022-05-29,40,16,14,71,23,108.1,14.8
2022-06-05,38,20,15,69,25,112.6,16.3
2022-06-12,42,19,15,71,25,121.5,14.8
2022-06-19,41,20,14,85,27,127.4,17.8
2022-06-26,44,18,14,71,26,120.0,16.3
2022-07-03,41,18,14,79,25,114.1,16.3
2022-07-10,44,20,15,83,27,121.5,17.8
2022-07-17,45,21,16,73,29,125.9,16.3
2022-07-24,52,20,15,74,25,123.0,16.3
2022-07-31,48,19,15,69,26,121.5,16.3
2022-08-07,41,19,15,73,25,117.0,16.3
2022-08-14,39,20,14,69,25,115.5,17.8
2022-08-21,39,17,15,68,25,103.7,14.8
2022-08-28,37,19,14,63,26,100.7,14.8
2022-09-04,36,17,14,64,23,96.3,14.8
2022-09-11,35,19,14,61,24,100.7,14.8
2022-09-18,33,17,15,62,22,91.8,14.8
2022-09-25,31,17,12,67,21,97.8,13.3
2022-10-02,36,16,13,62,24,114.1,13.3
2022-10-09,32,17,13,69,23,99.2,13.3
2022-10-16,33,18,12,73,22,94.8,14.8
2022-10-23,31,16,13,59,20,88.9,11.9
2022-10-30,34,19,13,57,21,93.3,11.9
2022-11-06,29,19,13,57,21,90.4,13.3
2022-11-13,31,16,13,58,21,88.9,13.3
2022-11-20,29,16,11,49,16,66.7,11.9
2022-11-27,31,19,12,58,19,80.0,13.3
2022-12-04,33,19,12,61,20,83.0,13.3
2022-12-11,31,19,12,58,20,80.0,13.3
2022-12-18,32,17,13,55,20,75.5,14.8
2022-12-25,39,22,14,67,21,88.9,16.3
2023-01-01,41,21,14,66,24,100.7,16.3
2023-01-08,43,23,16,69,25,103.7,17.8
2023-01-15,40,21,14,68,25,99.2,16.3
2023-01-22,39,19,15,65,24,102.2,16.3
2023-01-29,38,20,14,66,23,99.2,14.8
2023-02-05,39,21,14,62,21,106.7,14.8
2023-02-12,36,19,15,66,25,112.6,16.3
2023-02-19,36,19,15,69,24,114.1,14.8
2023-02-26,37,19,15,69,23,123.0,14.8
2023-03-05,37,19,14,71,24,117.0,14.8
2023-03-12,36,20,14,72,26,127.4,14.8
2023-03-19,35,19,13,71,24,112.6,14.8
2023-03-26,35,20,15,74,24,118.5,13.3
2023-04-02,37,19,14,68,24,117.0,13.3
